ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
5267e4d9e4b0ec79466e48c6;YES;Entertainment;;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c9;YES;Entertainment;;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c7;YES;Tourism,Entertainment;;;;;;;;;;;;;
58daa1558bbb0b01f18ec1fa;YES;Tourism;;;;;;;;;;;;;
5267e4d9e4b0ec79466e48d1;YES;Entertainment;;;;;;;;;;;;;
5267e4d9e4b0ec79466e48c8;YES;Entertainment;;;;;;;;;;;;;
52741d85e4b0d5d1e3c6a6d9;YES;Tourism,Entertainment;;;;;;;;;;;;;
52f2ab2ebcbc57f1066b8b54;YES;Entertainment;;;;;;;;;;;;;
5267e4d8e4b0ec79466e48c5;YES;Tourism,Entertainment;;;;;;;;;;;;;
503288ae91d4c4b30a586d67;YES;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
4bf58dd8d48988d1c8941735;YES;Eating out;Family,Friends,Colleagues;;;;;;;Africans;;;;;
4bf58dd8d48988d10a941735;YES;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
4bf58dd8d48988d14e941735;YES;Eating out;Family,Friends,Colleagues;;;;;;;;;;;;
4bf58dd8d48988d157941735;YES;Eating out;Family,Friends,Colleagues;;;;;;;North Americans;;;;;
4bf58dd8d48988d142941735;YES;Eating out;Family,Friends,Colleagues;;;;;;;;;;;;
56aa371be4b08b9a8d573568;Southeast Asian Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52e81612bcbc57f1066b7a03;Southeast Asian Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
4bf58dd8d48988d145941735;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a5e3cf9994f4e043bea;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a723cf9994f4e043bec;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a7c3cf9994f4e043bed;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
58daa1558bbb0b01f18ec1d3;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a673cf9994f4e043beb;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a903cf9994f4e043bee;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
4bf58dd8d48988d1f5931735;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3a9f3cf9994f4e043bef;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3aaa3cf9994f4e043bf0;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3ab53cf9994f4e043bf1;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3abe3cf9994f4e043bf2;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3ac83cf9994f4e043bf3;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3ad23cf9994f4e043bf4;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3add3cf9994f4e043bf5;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3af23cf9994f4e043bf7;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3ae63cf9994f4e043bf6;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3afc3cf9994f4e043bf8;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3b053cf9994f4e043bf9;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3b213cf9994f4e043bfa;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
52af3b293cf9994f4e043bfb;Chinese Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;East Asians & Diaspora;;;;;
