NAME;ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
Cigkofte Place;530faca9bcbc57f1066bc2f4;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Doner Restaurant;5283c7b4e4b094cb91ec88d8;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Gozleme Place;5283c7b4e4b094cb91ec88d9;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Kofte Place;5283c7b4e4b094cb91ec88db;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Kokoreç Restaurant;5283c7b4e4b094cb91ec88d6;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Kumpir Restaurant;56aa371be4b08b9a8d573535;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Kumru Restaurant;56aa371be4b08b9a8d5734bd;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Manti Place;5283c7b4e4b094cb91ec88d5;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Meyhane;5283c7b4e4b094cb91ec88da;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Pide Place;530faca9bcbc57f1066bc2f2;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Pilavcı;58daa1558bbb0b01f18ec1df;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Söğüş Place;58daa1558bbb0b01f18ec1dc;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Tantuni Restaurant;56aa371be4b08b9a8d5734bf;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Turkish Coffeehouse;56aa371be4b08b9a8d5734c1;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Turkish Home Cooking Restaurant;5283c7b4e4b094cb91ec88d4;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Çöp Şiş Place;58daa1558bbb0b01f18ec1e2;Middle Eastern Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Ukrainian Restaurant;52e928d0bcbc57f1066b7e96;Eastern European Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Varenyky restaurant;52e928d0bcbc57f1066b7e9a;Eastern European Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
West-Ukrainian Restaurant;52e928d0bcbc57f1066b7e9b;Eastern European Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;Arabs & Middle Easterners;;;;;
Vegetarian / Vegan Restaurant;4bf58dd8d48988d1d3941735;YES;Eating out;Family,Friends,Colleagues;;Islam;;;Vegetarian;;;;;;;
Wings Joint;4bf58dd8d48988d14c941735;North American Cuisine;Eating out;Family,Friends,Colleagues;;;;;;;;;;;;
Bar;4bf58dd8d48988d116941735;Liquor,Wine,Beer,Cocktails;Having a drink;Friends;;;;;;;;;;;;
Beach Bar;52e81612bcbc57f1066b7a0d;Liquor,Beer,Cocktails;Having a drink,Tourism;Friends;;;;;;;;;;;;
Beer Bar;56aa371ce4b08b9a8d57356c;Beer;Having a drink;Friends;;;;;;;;;;;;
Beer Garden;4bf58dd8d48988d117941735;Beer;Having a drink;Friends;;;;;;;;;;;;
Champagne Bar;52e81612bcbc57f1066b7a0e;Wine,Cocktails;Having a drink;Friends;;;;;;;;;;High;;
Cocktail Bar;4bf58dd8d48988d11e941735;Wine,Cocktails;Having a drink;Friends;;;;;;;;;;High;;
