ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM;TRA
<http://dbpedia.org/ontology/Film>;YES;Entertainment;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Stream>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RugbyClub>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/MusicFestival>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/College>;YES;Education;Colleagues,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/WaterRide>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Crustacean>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/OlympicEvent>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SportsTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Aircraft>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/NCAATeamSeason>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/FilmFestival>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Airline>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Royalty>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/FootballLeagueSeason>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Publisher>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Congressman>;;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Governor>;;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Writer>;YES;Entertainment;;;;;;;;;;;;;
<http://dbpedia.org/ontology/WaterwayTunnel>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Locomotive>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Weapon>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/RecordLabel>;YES;Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Politician>;;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/CricketTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/SportsEvent>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Holiday>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Saint>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Plant>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/PoliticalParty>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/ChristianBishop>;YES;;;;YES;;;;;;;;;;
<http://dbpedia.org/ontology/SoccerClubSeason>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Architect>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Book>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Magazine>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Beverage>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Language>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Noble>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/TradeUnion>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Animal>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/SoccerTournament>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Album>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Insect>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Religious>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Monarch>;YES;Tourism;;;;;;;;;;;;;
<http://dbpedia.org/ontology/HorseRace>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/AcademicJournal>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/CyclingRace>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/BasketballTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
<http://dbpedia.org/ontology/Award>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Bay>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/Single>;;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/MemberOfParliament>;YES;;;;;YES;;;;;;;;;
<http://dbpedia.org/ontology/Judge>;YES;;;;;;;;;;;;;;
<http://dbpedia.org/ontology/FormulaOneTeam>;YES;Sports,Entertainment;Family,Friends;;;;;;;;;;;;
