ID;INT;ACT;SOC;SKL;REL;POL;ADD;HEA;OWN;ETH;GEN;AGE;STA;FAM
4bf58dd8d48988d192941735;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d191941735;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d1e5931735;YES;Entertainment,Tourism;;;;;;;;;;;;
4bf58dd8d48988d1e7931735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d1e8931735;YES;Entertainment;;;;;;;;;;;;
4bf58dd8d48988d1e9931735;YES;Entertainment;;;;;;;;;;;;
5744ccdfe4b0c0459246b4b8;YES;Entertainment;;;;;;;;;;;;
4bf58dd8d48988d1f2931735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d134941735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d135941735;YES;Entertainment;YES;;;;;;;;;;;
4bf58dd8d48988d136941735;YES;Entertainment,Tourism;YES;;;;;;;;;;;
4bf58dd8d48988d137941735;YES;Entertainment,Tourism;YES;;;;;;;;;;;
4bf58dd8d48988d1e3931735;YES;Entertainment;YES;;;;;;;;;;;
507c8c4091d498d9fc8c67a9;YES;Entertainment,Tourism;;;;;;;;;;;;
52e81612bcbc57f1066b79ed;YES;Entertainment,Tourism;;;;;;;;;;;;
52e81612bcbc57f1066b79ee;YES;Entertainment,Tourism;;;;;;;;;;;;
56aa371be4b08b9a8d573514;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d1f4931735;YES;Entertainment,Sports;YES;;;;;;;;;;;
52e81612bcbc57f1066b79e9;YES;Entertainment,Sports;YES;;;;;;;;;;;
52e81612bcbc57f1066b79ec;YES;Entertainment,Sports;YES;Dance;;;;;;;;;;
56aa371be4b08b9a8d5734f9;YES;Entertainment,Sports;YES;Dance;;;;;;;;;;
4bf58dd8d48988d184941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d18c941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
4bf58dd8d48988d18b941735;YES;Entertainment,Sports;YES;;;;;;;;;;;
